127.0.0.1 - - [29/Jan/2024:23:50:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/ HTTP/1.1" 200 16342
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/css/unicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/images/undraw/undraw_software_engineer_lvl5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/css/tooplate-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/images/myproject/2024-01-21T171929.934480900Screenshot%202024-01-21%20170447.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/images/myproject/2024-01-21T171937.245570300Screenshot%202024-01-21%20171541.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/images/myproject/2024-01-27T151003.405409900testpic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/Headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/jQuery.headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:50:46 +0530] "GET /myportfolio/font/unicons.woff2?42479262 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:51:11 +0530] "POST /myportfolio/Message HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:23:51:11 +0530] "GET /myportfolio/index.jsp HTTP/1.1" 200 16412
